Price,Adj Close,Close,High,Low,Open,Volume
Ticker,USDISK=X,USDISK=X,USDISK=X,USDISK=X,USDISK=X,USDISK=X
Date,,,,,,
2021-11-15 00:00:00+00:00,131.1199951171875,131.1199951171875,131.4499969482422,130.89999389648438,131.1300048828125,0
2021-11-16 00:00:00+00:00,132.00999450683594,132.00999450683594,132.44000244140625,131.8000030517578,132.02999877929688,0
2021-11-17 00:00:00+00:00,132.58999633789062,132.58999633789062,132.91000366210938,131.63999938964844,132.6199951171875,0
2021-11-18 00:00:00+00:00,131.7100067138672,131.7100067138672,131.74000549316406,130.52999877929688,131.7100067138672,0
2021-11-19 00:00:00+00:00,130.39999389648438,130.39999389648438,131.38999938964844,130.24000549316406,130.4199981689453,0
2021-11-22 00:00:00+00:00,130.72000122070312,130.72000122070312,131.58999633789062,130.6199951171875,130.6199951171875,0
2021-11-23 00:00:00+00:00,131.35000610351562,131.35000610351562,131.5399932861328,130.6699981689453,131.35000610351562,0
2021-11-24 00:00:00+00:00,130.9600067138672,130.9600067138672,131.42999267578125,130.25999450683594,130.97999572753906,0
2021-11-25 00:00:00+00:00,130.57000732421875,130.57000732421875,131.02999877929688,130.27999877929688,130.5500030517578,0
2021-11-26 00:00:00+00:00,130.83999633789062,130.83999633789062,130.86000061035156,129.5399932861328,130.83999633789062,0
2021-11-29 00:00:00+00:00,129.57000732421875,129.57000732421875,130.25999450683594,129.85000610351562,129.89999389648438,0
2021-11-30 00:00:00+00:00,129.8800048828125,129.8800048828125,130.25999450683594,128.86000061035156,129.86000061035156,0
2021-12-01 00:00:00+00:00,129.27000427246094,129.27000427246094,129.57000732421875,128.7899932861328,129.27999877929688,0
2021-12-02 00:00:00+00:00,129.2100067138672,129.2100067138672,129.50999450683594,128.9600067138672,129.1999969482422,0
2021-12-03 00:00:00+00:00,129.5500030517578,129.5500030517578,129.82000732421875,129.05999755859375,129.5500030517578,0
2021-12-06 00:00:00+00:00,129.27999877929688,129.27999877929688,130.33999633789062,129.42999267578125,129.42999267578125,0
2021-12-07 00:00:00+00:00,130.16000366210938,130.16000366210938,130.9600067138672,129.97999572753906,130.14999389648438,0
2021-12-08 00:00:00+00:00,130.27999877929688,130.27999877929688,130.5,129.7100067138672,130.27999877929688,0
2021-12-09 00:00:00+00:00,129.63999938964844,129.63999938964844,130.6999969482422,129.6300048828125,129.63999938964844,0
2021-12-10 00:00:00+00:00,130.22999572753906,130.22999572753906,130.8800048828125,130.0500030517578,130.22000122070312,0
2021-12-13 00:00:00+00:00,130.1300048828125,130.1300048828125,131.27999877929688,130.1699981689453,130.19000244140625,0
2021-12-14 00:00:00+00:00,130.49000549316406,130.49000549316406,130.6999969482422,129.8699951171875,130.5,0
2021-12-15 00:00:00+00:00,130.27999877929688,130.27999877929688,130.3800048828125,129.8800048828125,130.27999877929688,0
2021-12-16 00:00:00+00:00,129.9199981689453,129.9199981689453,130.0,128.75,129.8800048828125,0
2021-12-17 00:00:00+00:00,128.7100067138672,128.7100067138672,129.6199951171875,128.6300048828125,128.7100067138672,0
2021-12-20 00:00:00+00:00,129.9600067138672,129.9600067138672,130.0,129.38999938964844,129.8699951171875,0
2021-12-21 00:00:00+00:00,129.6999969482422,129.6999969482422,130.57000732421875,129.4199981689453,129.7100067138672,0
2021-12-22 00:00:00+00:00,129.77000427246094,129.77000427246094,130.02999877929688,129.13999938964844,129.75999450683594,0
2021-12-23 00:00:00+00:00,129.30999755859375,129.30999755859375,130.0,129.1300048828125,129.3000030517578,0
2021-12-24 00:00:00+00:00,129.67999267578125,129.67999267578125,129.8800048828125,129.4600067138672,129.6999969482422,0
2021-12-27 00:00:00+00:00,129.75999450683594,129.75999450683594,130.14999389648438,129.5800018310547,129.72000122070312,0
2021-12-28 00:00:00+00:00,129.7899932861328,129.7899932861328,130.25,129.75,129.8000030517578,0
